...1,Sample,Exp1,Exp2,Mean,Difference,Outlier,Label
58,7274947,-6.93,-18.5,-12.7,11.6,FALSE,NA
59,3436817,-2.42,-0.317,-1.37,-2.1,FALSE,NA
60,1096605,-14.6,-14.8,-14.7,0.183,FALSE,NA
61,1055850,19.8,17.7,18.7,2.08,FALSE,NA
62,4223040,-10.3,-9.59,-9.92,-0.673,FALSE,NA
63,2432207,-4.78,2.34,-1.22,-7.12,FALSE,NA
64,9524462,-23.1,-18,-20.6,-5.08,FALSE,NA
65,8647954,2.23,-6.02,-1.9,8.25,FALSE,NA
66,6143952,14.4,14,14.2,0.379,FALSE,NA
67,3666882,-0.434,-5.61,-3.02,5.17,FALSE,NA
68,1324762,-21.3,-21.5,-21.4,0.262,FALSE,NA
69,5404552,-6.1,-17.2,-11.6,11.1,FALSE,NA
70,6836722,-10.3,-1.08,-5.67,-9.19,FALSE,NA
71,3501421,-13.5,-17,-15.2,3.49,FALSE,NA
72,6231623,0.914,-5.98,-2.53,6.89,FALSE,NA
73,9282450,-13,-4.86,-8.94,-8.17,FALSE,NA
74,1610304,9.59,-0.133,4.73,9.72,FALSE,NA
75,8886375,13.2,15.6,14.4,-2.41,FALSE,NA
76,4816125,-2.03,-1.52,-1.78,-0.509,FALSE,NA
77,4386676,-2.03,-3.63,-2.83,1.61,FALSE,NA
78,1215674,4.96,2.22,3.59,2.74,FALSE,NA
79,1906032,-5.87,0.0464,-2.91,-5.92,FALSE,NA
80,7136248,-3.89,-2.08,-2.99,-1.8,FALSE,NA
81,3505532,-6.83,-12.7,-9.76,5.87,FALSE,NA
82,1080891,-10.8,-21.1,-15.9,10.3,FALSE,NA
83,6648256,-7.23,-8.74,-7.98,1.51,FALSE,NA
84,6276543,-1.95,-6.26,-4.11,4.31,FALSE,NA
85,9035724,14.8,14.3,14.6,0.522,FALSE,NA
86,9044191,20.6,22,21.3,-1.4,FALSE,NA
87,6488212,7.13,8.77,7.95,-1.64,FALSE,NA
88,9804829,-10.2,-9.97,-10.1,-0.218,FALSE,NA
89,6281563,-6.83,-4.41,-5.62,-2.42,FALSE,NA
90,4916059,22.7,19.2,21,3.46,FALSE,NA
91,3080702,-10.4,-10.3,-10.4,-0.0822,FALSE,NA
92,6139841,-15,-19.1,-17,4.02,FALSE,NA
93,7863053,-7.44,-15.8,-11.6,8.34,FALSE,NA
94,6715482,-21.4,-18.1,-19.7,-3.29,FALSE,NA
95,3844288,-3.71,-2.99,-3.35,-0.728,FALSE,NA
96,9990843,-9.04,-2.92,-5.98,-6.13,FALSE,NA
97,4004718,14.5,14.4,14.5,0.138,FALSE,NA
98,3778005,4.49,1.47,2.98,3.02,FALSE,NA
99,9705203,11.3,18.7,15,-7.47,FALSE,NA
100,6408283,-6.34,-6.59,-6.47,0.245,FALSE,NA
101,9813458,-7.47,-10.7,-9.11,3.26,FALSE,NA
102,3842130,-0.392,2.32,0.964,-2.71,FALSE,NA
103,2453510,-5.19,-7.32,-6.25,2.13,FALSE,NA
104,1070754,8.66,4.95,6.8,3.71,FALSE,NA
105,2701134,16.8,14.7,15.7,2.02,FALSE,NA
106,4626014,-8.72,-7.22,-7.97,-1.51,FALSE,NA
107,1782218,12.9,4.02,8.47,8.89,FALSE,NA
108,2622099,0.433,6.55,3.49,-6.12,FALSE,NA
109,4947196,-16.2,-18.8,-17.5,2.55,FALSE,NA
110,5454378,3.53,10.6,7.06,-7.06,FALSE,NA
111,3355860,11.8,17.8,14.8,-6.05,FALSE,NA
112,1897342,13.7,7.92,10.8,5.78,FALSE,NA
113,2533016,7.55,11.1,9.3,-3.51,FALSE,NA
114,2110638,-16.7,-28.4,-22.5,11.7,FALSE,NA
115,1581886,5.8,5.22,5.51,0.579,FALSE,NA
116,8657528,9.25,17.1,13.2,-7.85,FALSE,NA
117,1704881,-9.55,-5.49,-7.52,-4.06,FALSE,NA
118,6471759,-19.2,-17.3,-18.3,-1.91,FALSE,NA
119,3009451,7.78,6.82,7.3,0.958,FALSE,NA
120,9180875,8.32,13.6,11,-5.29,FALSE,NA
121,8637908,15.8,17.7,16.7,-1.83,FALSE,NA
122,6460746,14.3,9.51,11.9,4.75,FALSE,NA
123,8906127,-21.3,-22,-21.7,0.739,FALSE,NA
124,4347121,-13.3,-10.9,-12.1,-2.43,FALSE,NA
125,8335851,-10.4,-9.52,-9.95,-0.849,FALSE,NA
126,7522496,-10.5,-0.392,-5.47,-10.2,FALSE,NA
127,2365138,14.2,11.9,13.1,2.26,FALSE,NA
128,9136258,4.95,-0.335,2.31,5.29,FALSE,NA
129,3091257,-4.4,-1.16,-2.78,-3.24,FALSE,NA
130,6299797,5.72,3.38,4.55,2.34,FALSE,NA
131,8012633,-14.3,-13.8,-14.1,-0.495,FALSE,NA
132,3525415,-15.1,-15.7,-15.4,0.583,FALSE,NA
133,3862256,12.4,9.49,10.9,2.89,FALSE,NA
134,7298684,8.11,15.1,11.6,-7.01,FALSE,NA
135,8792721,-15.1,-13.2,-14.2,-1.9,FALSE,NA
136,5880653,12.4,7.33,9.84,5.03,FALSE,NA
137,5775810,2.09,0.323,1.21,1.77,FALSE,NA
138,5526312,-8.11,-11.1,-9.62,3.02,FALSE,NA
139,4164455,-7.75,-2.21,-4.98,-5.54,FALSE,NA
140,7136810,1.19,5.79,3.49,-4.6,FALSE,NA
141,9590031,-15.5,-16.1,-15.8,0.527,FALSE,NA
142,7587578,-17,-13.7,-15.4,-3.23,FALSE,NA
143,2999439,-1.82,-4.53,-3.18,2.71,FALSE,NA
144,6087275,-1.05,-6.29,-3.67,5.24,FALSE,NA
145,4545020,-17.2,-8.11,-12.7,-9.11,FALSE,NA
146,6949177,14.4,17.7,16.1,-3.26,FALSE,NA
147,6066460,-8.44,-10.2,-9.32,1.75,FALSE,NA
148,1765111,-3.21,1.96,-0.626,-5.16,FALSE,NA
149,5839858,-4.3,-3.07,-3.69,-1.23,FALSE,NA
150,6957057,8.75,14.3,11.5,-5.53,FALSE,NA
151,3757091,-15.7,-17.7,-16.7,1.96,FALSE,NA
152,5109654,12.6,8.5,10.5,4.08,FALSE,NA
153,2485538,-4.78,-7.05,-5.91,2.28,FALSE,NA
154,4522238,4.34,6.12,5.23,-1.78,FALSE,NA
155,2287968,10.6,3.5,7.03,7.05,FALSE,NA
156,8256606,-17.9,-12.7,-15.3,-5.22,FALSE,NA
157,2813836,9.76,14.7,12.2,-4.92,FALSE,NA
158,1676010,14,22.3,18.2,-8.28,FALSE,NA
159,8383923,2.55,3.97,3.26,-1.42,FALSE,NA
160,5151790,11.5,18.1,14.8,-6.64,FALSE,NA
161,5431110,8.53,9.3,8.91,-0.771,FALSE,NA
162,6447464,12.3,9.38,10.8,2.9,FALSE,NA
163,2255525,-0.781,-12.4,-6.57,11.6,FALSE,NA
164,7123822,0.938,5.62,3.28,-4.68,FALSE,NA
165,1333905,-13.4,-9.31,-11.4,-4.12,FALSE,NA
166,5778778,-20.9,-19.6,-20.2,-1.34,FALSE,NA
167,6680485,18.4,13.8,16.1,4.57,FALSE,NA
168,7274203,19.3,19.1,19.2,0.134,FALSE,NA
169,1016717,-16.1,-14.3,-15.2,-1.74,FALSE,NA
170,4179879,-11.2,-17.2,-14.2,6.05,FALSE,NA
171,5318193,-11.1,-13.1,-12.1,2.06,FALSE,NA
172,3583646,13.3,14.1,13.7,-0.757,FALSE,NA
173,4450929,-19.8,-15.7,-17.8,-4.15,FALSE,NA
174,6763820,0.188,4.98,2.59,-4.79,FALSE,NA
175,7395684,-17.3,-17.4,-17.3,0.157,FALSE,NA
176,5525303,-11,-7.99,-9.48,-2.98,FALSE,NA
177,2558934,-7.02,-9.63,-8.32,2.62,FALSE,NA
178,3329447,16.7,14,15.4,2.73,FALSE,NA
179,7530530,18.4,17.4,17.9,0.937,FALSE,NA
180,6428971,-15.9,-11.8,-13.9,-4.14,FALSE,NA
181,1886355,23.6,21.6,22.6,2,FALSE,NA
182,5114569,9.27,14.5,11.9,-5.24,FALSE,NA
183,1899939,9.41,14.5,12,-5.08,FALSE,NA
184,9269778,1.09,-0.828,0.13,1.92,FALSE,NA
185,7059537,1.93,3.03,2.48,-1.09,FALSE,NA
186,4683388,-18.8,-22.1,-20.4,3.28,FALSE,NA
187,5148971,4.38,4.68,4.53,-0.303,FALSE,NA
188,6806081,10.7,8.15,9.41,2.52,FALSE,NA
189,6672161,9.17,7.75,8.46,1.42,FALSE,NA
190,3921595,-6.39,-5.26,-5.83,-1.14,FALSE,NA
191,7229376,18.1,11.3,14.7,6.78,FALSE,NA
192,9366024,-5.64,-5.18,-5.41,-0.46,FALSE,NA
193,3515616,13.6,11,12.3,2.6,FALSE,NA
194,9586613,-14.3,-10.4,-12.3,-3.92,FALSE,NA
195,4423102,21.9,17.8,19.9,4.08,FALSE,NA
196,8225530,-15.7,-17.1,-16.4,1.47,FALSE,NA
197,2467470,-1.68,-6.65,-4.17,4.97,FALSE,NA
198,9632098,11,13.9,12.4,-2.87,FALSE,NA
199,4927048,-0.422,-3.47,-1.95,3.05,FALSE,NA
200,7847710,-7.98,-8.86,-8.42,0.879,FALSE,NA
201,6939641,-17.6,-12.1,-14.9,-5.51,FALSE,NA
202,5578536,-6.75,-5.87,-6.31,-0.878,FALSE,NA
203,3063920,10.2,20.6,15.4,-10.3,FALSE,NA
204,8039968,0.128,-0.28,-0.0762,0.408,FALSE,NA
205,4598940,-15.3,-13.8,-14.6,-1.56,FALSE,NA
206,8756943,-8.71,-7.11,-7.91,-1.59,FALSE,NA
207,7120978,-6.99,-10.8,-8.88,3.79,FALSE,NA
208,6377365,18.5,21,19.8,-2.43,FALSE,NA
209,6873132,14.3,23.9,19.1,-9.51,FALSE,NA
210,2537062,9.26,8.14,8.7,1.12,FALSE,NA
211,1487788,5.43,8.44,6.94,-3.02,FALSE,NA
212,7303230,-17.7,-20.8,-19.3,3.12,FALSE,NA
213,1609307,17.6,17.2,17.4,0.377,FALSE,NA
214,4532522,7.8,6.17,6.98,1.63,FALSE,NA
215,8710244,3.21,-7.66,-2.23,10.9,FALSE,NA
216,7617629,9.28,13.8,11.5,-4.54,FALSE,NA
217,7484918,-5.77,-7.46,-6.61,1.69,FALSE,NA
218,6946324,-8.02,-16.1,-12,8.04,FALSE,NA
219,5939167,-0.462,-2.01,-1.23,1.54,FALSE,NA
220,5355387,-21.5,-15.2,-18.4,-6.25,FALSE,NA
221,9111012,5.52,9.36,7.44,-3.84,FALSE,NA
222,9645055,-6.18,-12.7,-9.46,6.55,FALSE,NA
223,9770301,1.84,0.445,1.14,1.4,FALSE,NA
224,8273268,4.54,8.95,6.75,-4.4,FALSE,NA
225,5021953,20.5,15,17.8,5.56,FALSE,NA
226,2437672,-19.3,-16.9,-18.1,-2.45,FALSE,NA
227,2149237,3.32,6.41,4.86,-3.09,FALSE,NA
228,3772859,-12.5,-11.8,-12.2,-0.797,FALSE,NA
229,2774746,9.03,2.63,5.83,6.4,FALSE,NA
230,7734206,7.19,19.2,13.2,-12,TRUE,7734206
231,9852373,-22,-8.45,-15.2,-13.5,TRUE,9852373
232,7934847,-5.82,-5.35,-5.59,-0.478,FALSE,NA
233,4199782,6.65,22.9,14.8,-16.3,TRUE,4199782
234,3830158,-20.6,-16.3,-18.4,-4.26,FALSE,NA
235,9848713,9.78,9.58,9.68,0.208,FALSE,NA
236,3787129,-5.18,-12.4,-8.8,7.25,FALSE,NA
237,5698379,-2.26,-7.8,-5.03,5.54,FALSE,NA
238,1502635,19.5,19.6,19.5,-0.111,FALSE,NA
239,5800067,-19.5,-13.7,-16.6,-5.79,FALSE,NA
240,3140909,-16.7,-12.6,-14.6,-4.14,FALSE,NA
241,4550756,8.16,12.2,10.2,-4.04,FALSE,NA
242,3193232,1.68,-4.33,-1.33,6.01,FALSE,NA
243,4264714,-5.7,-9.66,-7.68,3.96,FALSE,NA
244,6416039,-7.14,-0.905,-4.02,-6.23,FALSE,NA
245,8462866,0.236,-3.06,-1.41,3.3,FALSE,NA
246,5430201,16.7,22.1,19.4,-5.37,FALSE,NA
247,7562150,14.3,9.09,11.7,5.24,FALSE,NA
248,5317660,18.7,15.5,17.1,3.21,FALSE,NA
249,5820447,-14.8,-14.9,-14.9,0.0929,FALSE,NA
250,5951339,8.3,1.9,5.1,6.4,FALSE,NA
251,1213622,13.3,16,14.6,-2.7,FALSE,NA
252,6014860,-10.8,-16.1,-13.5,5.33,FALSE,NA
253,4879665,12.2,11.1,11.6,1.08,FALSE,NA
254,2769401,12.7,7.79,10.2,4.9,FALSE,NA
255,6613884,15.8,8.77,12.3,7.01,FALSE,NA
256,8332446,15.4,11.9,13.6,3.42,FALSE,NA
257,4531780,2.05,-6.79,-2.37,8.84,FALSE,NA
258,2665674,-11.3,-9.72,-10.5,-1.6,FALSE,NA
259,8653156,-18.4,-14.6,-16.5,-3.85,FALSE,NA
260,4356808,8.87,2.01,5.44,6.86,FALSE,NA
261,5572561,6.1,0.511,3.31,5.59,FALSE,NA
262,7887812,-3.44,3.42,-0.0127,-6.86,FALSE,NA
263,7426869,6.59,12.7,9.62,-6.06,FALSE,NA
264,6068739,18.9,15.9,17.4,3,FALSE,NA
265,4092962,12.2,9.63,10.9,2.53,FALSE,NA
266,7354354,-2.03,-10.5,-6.28,8.5,FALSE,NA
267,9079946,6.29,2.24,4.27,4.05,FALSE,NA
268,5644629,13.2,17.9,15.5,-4.72,FALSE,NA
269,7341857,-1.97,-4.47,-3.22,2.5,FALSE,NA
270,9835429,-7.37,-13.4,-10.4,6.05,FALSE,NA
271,4647853,21.3,20.4,20.8,0.923,FALSE,NA
272,2836013,-10.4,-11.6,-11,1.2,FALSE,NA
273,7226154,3.43,-4.97,-0.768,8.4,FALSE,NA
274,3558553,-3.6,-2.87,-3.24,-0.736,FALSE,NA
275,3183550,22.3,17,19.6,5.26,FALSE,NA
276,1191816,17.1,13.7,15.4,3.41,FALSE,NA
277,2113419,-8.5,-4.8,-6.65,-3.7,FALSE,NA
278,5835096,7.34,1.4,4.37,5.94,FALSE,NA
279,3240733,4.68,4.71,4.69,-0.0364,FALSE,NA
280,8492554,-11.4,-14.3,-12.9,2.94,FALSE,NA
281,3943760,-2.37,-2.34,-2.35,-0.0298,FALSE,NA
282,3771117,-20.4,-22,-21.2,1.6,FALSE,NA
283,2241628,8.81,17.1,13,-8.3,FALSE,NA
284,5476430,4.82,7.25,6.03,-2.43,FALSE,NA
285,7894380,-15.9,-15.7,-15.8,-0.211,FALSE,NA
286,8536634,20.1,10,15.1,10.1,FALSE,NA
287,3840393,-0.0856,-5.1,-2.59,5.02,FALSE,NA
288,8645101,-5.92,-5.22,-5.57,-0.696,FALSE,NA
289,7357021,18.4,12.1,15.2,6.22,FALSE,NA
290,1014334,12.7,6.39,9.54,6.3,FALSE,NA
291,4393670,-18.8,-16.7,-17.7,-2.1,FALSE,NA
292,6180683,-23,-19.2,-21.1,-3.86,FALSE,NA
293,3825232,9.48,12.1,10.8,-2.62,FALSE,NA
294,9490264,-8.17,-10,-9.09,1.85,FALSE,NA
295,4532773,-9.96,-6.89,-8.42,-3.08,FALSE,NA
296,2538459,20.2,21.2,20.7,-1.02,FALSE,NA
297,6538797,-7.76,-1.22,-4.49,-6.54,FALSE,NA
298,4525711,-5.27,-22.8,-14.1,17.6,TRUE,4525711
299,9139230,-2.05,-9.22,-5.64,7.17,FALSE,NA
300,5391101,-14.5,-9.24,-11.9,-5.22,FALSE,NA
301,9698567,11.4,13.3,12.4,-1.96,FALSE,NA
302,3373676,-13.9,-24.3,-19.1,10.4,FALSE,NA
303,7139117,7.65,5.73,6.69,1.92,FALSE,NA
304,9990734,-2.38,-7.18,-4.78,4.79,FALSE,NA
305,4223892,-19.1,-19.5,-19.3,0.386,FALSE,NA
306,2615627,10.2,9.11,9.65,1.08,FALSE,NA
307,5232300,17,25.9,21.5,-8.87,FALSE,NA
308,7322853,13.5,12.3,12.9,1.23,FALSE,NA
309,9543314,14.7,8.09,11.4,6.65,FALSE,NA
310,2868963,-24.3,-11,-17.6,-13.3,TRUE,2868963
311,6846439,12.7,21.5,17.1,-8.89,FALSE,NA
312,3362940,14.1,18.7,16.4,-4.63,FALSE,NA
313,8170197,19.8,16.5,18.2,3.27,FALSE,NA
314,1013146,-6.52,0.485,-3.02,-7.01,FALSE,NA
315,4246684,-3.38,0.571,-1.41,-3.95,FALSE,NA
316,4088417,-1.01,-14.8,-7.91,13.8,TRUE,4088417
317,2912838,-10.4,-15,-12.7,4.6,FALSE,NA
318,3354901,16.3,17.5,16.9,-1.27,FALSE,NA
319,6092241,-4,-2.05,-3.03,-1.94,FALSE,NA
320,6712621,13.4,11.6,12.5,1.85,FALSE,NA
321,7696537,25.5,20.2,22.8,5.29,FALSE,NA
322,3264486,17.7,13.7,15.7,4.01,FALSE,NA
323,2519144,4.42,2.51,3.47,1.92,FALSE,NA
324,3057105,-22.6,-8.37,-15.5,-14.2,TRUE,3057105
325,3524003,-12.1,-6.9,-9.5,-5.22,FALSE,NA
326,5481393,-16.5,-14.4,-15.5,-2.17,FALSE,NA
327,2823457,-11.7,-10.5,-11.1,-1.2,FALSE,NA
328,8302052,10,9.09,9.55,0.924,FALSE,NA
329,4626214,-14,-2.84,-8.43,-11.2,FALSE,NA
330,8200542,-4.41,-3.83,-4.12,-0.581,FALSE,NA
331,7044434,6.53,9.13,7.83,-2.6,FALSE,NA
332,2434235,-3.5,-7.46,-5.48,3.96,FALSE,NA
333,5692776,6.89,5.83,6.36,1.06,FALSE,NA
334,9147072,15.1,13.5,14.3,1.59,FALSE,NA
335,6409500,-1.41,6.29,2.44,-7.69,FALSE,NA
336,2144953,2.8,-0.156,1.32,2.96,FALSE,NA
337,2345189,9.9,9.28,9.59,0.615,FALSE,NA
338,3006186,-16.3,-21.2,-18.7,4.82,FALSE,NA
339,7069661,-16.9,-19.5,-18.2,2.61,FALSE,NA
340,6353357,-14.3,-7.99,-11.1,-6.3,FALSE,NA
341,6401941,5.34,6.11,5.72,-0.767,FALSE,NA
342,8584925,9.11,17.4,13.3,-8.3,FALSE,NA
343,9150042,14.9,6.25,10.6,8.66,FALSE,NA
344,2821627,15.8,12.3,14.1,3.46,FALSE,NA
345,4465142,3.84,3.71,3.78,0.134,FALSE,NA
346,8623166,21.8,13.7,17.8,8.12,FALSE,NA
347,1980671,-24.3,-17.6,-20.9,-6.71,FALSE,NA
348,2737838,4.61,17,10.8,-12.4,TRUE,2737838
349,7997537,-2.88,-3.21,-3.05,0.331,FALSE,NA
350,8179330,14.6,17,15.8,-2.4,FALSE,NA
351,5232256,-0.787,6.42,2.81,-7.2,FALSE,NA
352,6074000,12.8,7.74,10.3,5.07,FALSE,NA
353,7158140,-8.01,-10.8,-9.42,2.82,FALSE,NA
354,3018665,-12.6,-10.8,-11.7,-1.76,FALSE,NA
355,2493123,-11.4,-7.69,-9.56,-3.74,FALSE,NA
356,9993352,-9.81,-17.6,-13.7,7.84,FALSE,NA
357,1845983,-8.09,-3.76,-5.93,-4.33,FALSE,NA
358,8933231,0.08,3.79,1.94,-3.71,FALSE,NA
359,8950641,6.35,15.1,10.7,-8.72,FALSE,NA
360,7878867,4.04,3.88,3.96,0.161,FALSE,NA
361,8566960,5.47,1.93,3.7,3.54,FALSE,NA
362,9998929,-15.6,-8.55,-12.1,-7.08,FALSE,NA
363,6874781,-18.5,-16.3,-17.4,-2.2,FALSE,NA
364,2136860,-6.19,-10,-8.11,3.85,FALSE,NA
365,9281000,-13.6,-9.92,-11.8,-3.72,FALSE,NA
366,5622718,4.04,1.13,2.59,2.91,FALSE,NA
367,7331707,-13.8,-8.56,-11.2,-5.27,FALSE,NA
368,3341019,3.58,4.08,3.83,-0.498,FALSE,NA
369,7555347,-13.2,-5,-9.11,-8.23,FALSE,NA
370,2314140,-17.6,-20,-18.8,2.36,FALSE,NA
371,8873603,6.26,-3.98,1.14,10.2,FALSE,NA
372,4723147,5.99,11.1,8.53,-5.07,FALSE,NA
373,5541689,-18.1,-16.3,-17.2,-1.86,FALSE,NA
374,9975519,-21.3,-21.6,-21.5,0.269,FALSE,NA
375,9081226,-17.8,-12.1,-15,-5.7,FALSE,NA
376,7383057,-10.6,-12.6,-11.6,2.03,FALSE,NA
377,4570391,3.74,8.2,5.97,-4.46,FALSE,NA
378,6404276,-2.5,-7.73,-5.12,5.24,FALSE,NA
379,7392109,18.2,22.8,20.5,-4.59,FALSE,NA
380,1349698,4.78,1.39,3.08,3.39,FALSE,NA
381,3593053,11.9,2.29,7.07,9.57,FALSE,NA
382,4673020,7.81,1.88,4.85,5.93,FALSE,NA
383,6905053,-11.7,-9.3,-10.5,-2.37,FALSE,NA
384,7942448,17.6,13.7,15.7,3.87,FALSE,NA
385,3093358,18.7,21.7,20.2,-3.05,FALSE,NA
386,7511752,9.39,12.8,11.1,-3.44,FALSE,NA
387,2162526,12.7,8.84,10.8,3.85,FALSE,NA
388,1723820,-6.4,1.28,-2.56,-7.68,FALSE,NA
389,9753434,18.9,11.6,15.2,7.29,FALSE,NA
390,4609423,12,15.9,13.9,-3.86,FALSE,NA
391,4815103,-2.09,-3.13,-2.61,1.04,FALSE,NA
392,3380946,15.2,9.83,12.5,5.36,FALSE,NA
393,9712811,-13.4,-9.81,-11.6,-3.59,FALSE,NA
394,1286823,18,14.9,16.5,3.1,FALSE,NA
395,8543194,-10.6,-7.1,-8.87,-3.53,FALSE,NA
396,9879094,8.08,9.78,8.93,-1.69,FALSE,NA
397,1061015,8.7,7.31,8,1.4,FALSE,NA
398,7078236,16.6,9.01,12.8,7.62,FALSE,NA
399,8969635,-16.4,-13.5,-15,-2.92,FALSE,NA
400,2400636,7.6,0.233,3.92,7.37,FALSE,NA
401,7370675,-16.2,-12.9,-14.6,-3.26,FALSE,NA
402,5348703,-17,-14.8,-15.9,-2.19,FALSE,NA
403,3491978,22.2,14.3,18.2,7.89,FALSE,NA
404,9763386,-21.2,-22.2,-21.7,1.01,FALSE,NA
405,8691612,17.5,20.5,19,-2.99,FALSE,NA
406,9327540,-14.4,-5.78,-10.1,-8.63,FALSE,NA
407,3419775,13.5,12.2,12.9,1.23,FALSE,NA
408,4170994,4.71,1.14,2.92,3.57,FALSE,NA
409,8584707,6.66,-0.83,2.91,7.49,FALSE,NA
410,6168192,4.34,9.21,6.77,-4.87,FALSE,NA
411,1697905,2.24,-2.87,-0.316,5.1,FALSE,NA
412,5207493,11.8,18.6,15.2,-6.75,FALSE,NA
413,4793802,7.72,-2.6,2.56,10.3,FALSE,NA
414,7811273,12.4,14.9,13.7,-2.5,FALSE,NA
415,2468988,13,19.1,16.1,-6.06,FALSE,NA
416,7519210,16.7,23.3,20,-6.65,FALSE,NA
417,4045095,1.67,-7.22,-2.77,8.89,FALSE,NA
418,1461398,17.9,13.9,15.9,3.98,FALSE,NA
419,3990798,14.8,15.4,15.1,-0.519,FALSE,NA
420,3240194,-20.7,-23.2,-21.9,2.46,FALSE,NA
421,3746651,-17.3,-10.3,-13.8,-6.97,FALSE,NA
422,2089584,10.4,17.5,13.9,-7.13,FALSE,NA
423,4806546,15.3,24.5,19.9,-9.16,FALSE,NA
424,1829414,-7.84,-13.2,-10.5,5.32,FALSE,NA
425,3150700,23.4,14.7,19.1,8.72,FALSE,NA
426,9830836,16.2,13.9,15,2.3,FALSE,NA
427,6327396,16.1,14.1,15.1,2,FALSE,NA
428,2840467,18.9,16.4,17.7,2.47,FALSE,NA
429,8768008,-9.42,-12.2,-10.8,2.82,FALSE,NA
430,9730903,-14.5,-10.2,-12.4,-4.32,FALSE,NA
431,9131800,12.6,11.6,12.1,0.994,FALSE,NA
432,9846386,-3.45,-3.29,-3.37,-0.158,FALSE,NA
433,2192512,17.1,17,17,0.142,FALSE,NA
434,3504443,-13.6,-3.53,-8.58,-10.1,FALSE,NA
435,2565311,-4.31,-3.35,-3.83,-0.963,FALSE,NA
436,7572852,3.09,5.47,4.28,-2.38,FALSE,NA
437,9453016,-1.46,-4.86,-3.16,3.4,FALSE,NA
438,1600509,-14.2,-13.9,-14.1,-0.245,FALSE,NA
439,4092374,-14.6,-11.4,-13,-3.18,FALSE,NA
